,Article Name,view_count,size,min_size,max_size,Article Namespace,page_namespace,page_title,date,edits,minor_edits,view_count_talk,size_talk,min_size_talk,max_size_talk,Article Namespace_talk,page_namespace_talk,page_title_talk,date_talk,edits_talk,minor_edits_talk
10172120,Larry_Cowart,,,,,,,,20160401,0.0,0.0,1.0,11897.0,11897.0,11897.0,1.0,,,,,
1560864,Third_Tunnel_of_Aggression,65.0,33876.0,12175.0,85241.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1418946,Slow_left-arm_orthodox,26.0,20744.0,10595.0,60009.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
9531354,LONDON_PHILHARMONIC_ORCHESTRA_%28band%29,1.0,25800.0,25800.0,25800.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4190747,The_Leaf-Chronicle,14.0,19250.0,0.0,61181.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5736565,Harmonic_Mean,1.0,27317.0,27317.0,27317.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
555675,Fland_Canyon,3.0,50824.0,22043.0,108386.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7487417,Speed%20skating,1.0,13632.0,13632.0,13632.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
969834,Luangwa_River,39.0,42124.0,14063.0,155980.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7984868,Tremaine_Johnson,3.0,10182.0,10179.0,10185.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
8852034,Mimomantis,1.0,7919.0,7919.0,7919.0,0.0,,,20160401,0.0,0.0,1.0,7842.0,7842.0,7842.0,1.0,,,,,
4134531,Sara_Northrup,3.0,60353.0,40236.0,80471.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
9494261,GRUPO_REAL_(_DIAS_FELICES_),1.0,6557.0,6557.0,6557.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
2035097,Condition_publique,2.0,24884.0,24884.0,24884.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5220972,%E7%A5%9E%E6%9C%A8%E5%8E%BF%E4%B9%B0%E7%94%B5%E6%A3%8D%E7%94%B5%E6%A3%92QQ188566688%E2%97%86%E8%B4%A7%E5%88%B0%E4%BB%98%E6%AC%BE%E2%97%86%E4%B9%B0%E7%94%B5%E6%A3%92%E7%94%B5%E6%A3%8D2016-03-09,1.0,6806.0,6806.0,6806.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
8252663,Adelino_da_Silva_Pereira_Cirqueira,1.0,9839.0,9839.0,9839.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3942041,Jimusaria,2.0,23132.0,23131.0,23133.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
516881,Ether%2C_North_Carolina,1.0,9805.0,9805.0,9805.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4692337,Saidabad%2C_Dashtabi,1.0,13075.0,13075.0,13075.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
10224867,Wanderers_F.C./GA1,,,,,,,,20160401,0.0,0.0,1.0,9140.0,9140.0,9140.0,1.0,,,,,
8814350,Isadore_Hall%2C_III,1.0,12412.0,12412.0,12412.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
8613023,Macrophoma_ilicis,1.0,6499.0,6499.0,6499.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
9387585,The_corrs_forgiven_not_forgotten_EPK_1995,1.0,6575.0,6575.0,6575.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
6893060,Rawls_%28the_wire%29,1.0,17580.0,17580.0,17580.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5092183,Pabay,3.0,46092.0,46092.0,46092.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
2918304,Aurobindo%27s_politics,1.0,13275.0,13275.0,13275.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7546652,"Abdul-Jawad,_Mazen",1.0,11226.0,11226.0,11226.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
580260,Freudiana,56.0,34984.0,13011.0,144802.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3224046,Lectionary_341,5.0,20914.0,10679.0,51616.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1829848,1986_FIFA_World_Cup_qualification_%E2%80%93_CONMEBOL_Group_1,6.0,27046.0,12046.0,102028.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7040048,Clovis_I_of_France,3.0,31816.0,31816.0,31818.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
9090755,Neokadsuranin,1.0,32933.0,32933.0,32933.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4375902,Charles_Bernard_(disambiguation),2.0,47604.0,47604.0,47604.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4557983,Leuteneger_(surname),1.0,6518.0,6518.0,6518.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
8071310,ESC_2007,1.0,71026.0,71026.0,71026.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
9279546,Incontinence_(fecal),6.0,709641.0,709641.0,709641.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
2133962,Feker_malet,1.0,6491.0,6491.0,6491.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4806330,%EF%BC%88%E6%AD%8C%EF%BC%9A%E5%9C%92%E7%94%B0%E6%B5%B7%E6%9C%AA%EF%BC%86%E7%B5%A2%E7%80%AC%E7%B5%B5%E9%87%8C%EF%BC%89_(artist),2.0,28344.0,28344.0,28344.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
